学生名称,第一阶段期望好感值,第二阶段期望好感值,第三阶段期望好感值,完整三阶段期望好感值,每枚制造石期望好感值,240好感值礼物,180好感值礼物,120好感值礼物,80好感值礼物,60好感值礼物,40好感值礼物,20好感值礼物
泉（泳装）,15.244143,14.559422,50.915968,80.719533,80.719533,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,抹茶味弹珠汽水、夏日泳圈、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、大型蛋糕,其他金礼物
白子（骑行）,14.155275,13.206134,49.408375,76.769784,76.769784,清新的花束、美丽花束,一天三次哑铃套装,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、健身圈,其他金礼物
瞬（小）,14.881187,13.619805,50.413437,78.914429,78.914429,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、蝴蝶结玩具熊、大型蛋糕,其他金礼物
桐乃,13.79232,13.296204,50.009906,77.09843,77.09843,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装,其他金礼物
纱绫（便服）,14.518231,13.553288,51.014968,79.086487,79.086487,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
妮露（邦妮）,14.155275,13.262064,50.512437,77.929776,77.929776,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、健身圈,其他金礼物
花凛（邦妮）,13.429364,12.335823,49.507375,75.272562,75.272562,针线套装、清新的花束、美丽花束,,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,,其他金礼物
明日奈（邦妮）,14.518231,13.33602,52.11903,79.973281,79.973281,莎姆艾菈【Beyond】、清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,大型蛋糕、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水,其他金礼物
夏,14.881187,13.638114,50.413437,78.932738,78.932738,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
玛丽,13.79232,13.595648,48.905844,76.293812,76.293812,清新的花束、美丽花束,最高级枫树盆栽,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,食虫植物盆栽,其他金礼物
初音未来,12.703452,11.73667,46.29419,70.734312,70.734312,清新的花束、美丽花束,,其他紫礼物,,初音未来的拍立得、闪烁的花束,,其他金礼物
亚子,15.244143,14.511173,50.915968,80.671284,80.671284,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒、百科全书,其他金礼物
切里诺（温泉）,14.518231,13.588578,51.014968,79.121777,79.121777,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
千夏（温泉）,17.058922,15.301694,54.532684,86.8933,86.8933,清新的花束、美丽花束,街头混混系列第1本、高级蛋形工艺品,其他紫礼物,,《枪、可爱、青春》、发条音乐盒、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、藏宝图、世界上最没用的机器、古典诗集、看似昂贵的贪婪之坛、百科全书",其他金礼物
巴,14.155275,13.206134,50.512437,77.873846,77.873846,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,《枪、可爱、青春》、刺绣手绢,其他金礼物
和香（温泉）,15.607098,14.534538,52.522561,82.664197,82.664197,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲、音乐演奏会门票,其他紫礼物,,高档自助餐招待券、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、天体望远镜、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、电影预售票、大型蛋糕,其他金礼物
爱露（新年）,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
睦月（新年）,15.607098,14.430031,51.418499,81.455628,81.455628,清新的花束、美丽花束,桌游《人生》,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,天体望远镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
芹香（新年）,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,看似昂贵的贪婪之坛、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、发条音乐盒,其他金礼物
若藻,13.429364,12.335823,49.507375,75.272562,75.272562,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,,其他金礼物
吹雪,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
濑名,14.518231,13.87824,52.11903,80.515501,80.515501,营养满分综合维他命果冻、清新的花束、美丽花束,蕾丝枕头,其他紫礼物,,波浪猫枕头、初音未来的拍立得、闪烁的花束,果冻抱枕、百科全书、营养补充剂,其他金礼物
千寻,14.155275,13.309257,49.408375,76.872907,76.872907,清新的花束、美丽花束,A-Book Rare,其他紫礼物,,埃帕蓝牙耳机、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版、发条音乐盒,其他金礼物
三森,14.155275,14.210897,50.512437,78.878609,78.878609,清新的花束、美丽花束,时髦梳子、针线套装,其他紫礼物,,可爱的餐具套装、刺绣手绢、初音未来的拍立得、闪烁的花束,,其他金礼物
忧,15.607098,14.025047,53.626622,83.258767,83.258767,高级蛋形工艺品、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,《枪、可爱、青春》、古典诗集、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
日向,13.79232,13.595648,51.113968,78.501936,78.501936,针线套装、清新的花束、美丽花束,最高级枫树盆栽,其他紫礼物,,食虫植物盆栽、初音未来的拍立得、闪烁的花束,刺绣手绢,其他金礼物
真里奈,14.881187,13.598188,50.413437,78.892812,78.892812,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
宫子,14.155275,12.957665,50.512437,77.625377,77.625377,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,《枪、可爱、青春》、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味,其他金礼物
咲,15.970054,14.851877,51.92103,82.742961,82.742961,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,迷彩伪装用粉底液3件套、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒、百科全书、营养补充剂,其他金礼物
美游,14.155275,13.634123,50.512437,78.301835,78.301835,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味,其他金礼物
枫,16.695966,15.459887,52.926092,85.081945,85.081945,清新的花束、美丽花束,桌游《人生》,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、天体望远镜、Game Girl Color复刻版、健身圈、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
伊吕波,15.970054,14.528662,51.92103,82.419746,82.419746,清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,游戏杂志《HIT GIRLS》、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、《枪、可爱、青春》、Game Girl Color复刻版、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、健身圈、古典诗集、百科全书",其他金礼物
满,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
月咏,14.155275,13.581215,49.408375,77.144865,77.144865,清新的花束、美丽花束,最高级枫树盆栽,其他紫礼物,,食虫植物盆栽、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、看似昂贵的贪婪之坛,其他金礼物
美咲,13.429364,12.335823,49.507375,75.272562,75.272562,蕾丝枕头、清新的花束、美丽花束,,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,,其他金礼物
日和,13.429364,12.985223,48.403313,74.8179,74.8179,清新的花束、美丽花束,针线套装,其他紫礼物,,可爱的餐具套装、初音未来的拍立得、闪烁的花束,,其他金礼物
亚津子,13.79232,12.923601,50.009906,76.725827,76.725827,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,百科全书、初音未来的拍立得、闪烁的花束,营养补充剂,其他金礼物
若藻（泳装）,14.155275,13.572083,50.512437,78.239795,78.239795,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,蝴蝶结玩具熊、夏日泳圈、初音未来的拍立得、闪烁的花束,,其他金礼物
野宫（泳装）,14.881187,14.376704,50.413437,79.671328,79.671328,清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,樱桃唇彩、夏日泳圈、初音未来的拍立得、闪烁的花束,让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
绫音（泳装）,15.970054,14.958131,54.129153,85.057338,85.057338,A-Book Rare、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,《枪、可爱、青春》、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书",其他金礼物
